company,companydesc,category,catdesc
http://www.wikidata.org/entity/Q3632676,Maharashtra State Electricity Distribution Company Limited,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q3725215,E-distribuzione,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q3725215,E-distribuzione,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q4822522,Aurora Energy,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q4822520,Aurora Energy,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q4822520,Aurora Energy,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q4882970,Belize Electricity Limited,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q5323699,Enerca,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q5328984,East Midlands Electricity,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q5357771,Electricidade de Moçambique,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q5376841,Energex,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q187212,SolarEdge,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q187212,SolarEdge,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q570372,SolarWorld Industries,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q570372,SolarWorld Industries,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q645525,SunPower,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q645525,SunPower,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q708349,Phoenix Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1054371,Centrotherm Photovoltaics,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1055434,LDK Solar Co,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1131412,Isofoton,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1138888,First Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1138888,First Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1138888,First Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1188943,Suntech Power,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q3029396,Total Direct Énergie,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q3029396,Total Direct Énergie,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q3293748,Maritime Electric,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q3293748,Maritime Electric,http://www.wikidata.org/entity/Q844861,electric power distribution
http://www.wikidata.org/entity/Q732663,Pakistan Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q732663,Pakistan Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q734282,Transgaz,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q734282,Transgaz,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q751883,The Hong Kong and China Gas Company Limited,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q751883,The Hong Kong and China Gas Company Limited,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q751883,The Hong Kong and China Gas Company Limited,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q751992,Shenergy Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q752706,STP,http://www.wikidata.org/entity/Q862571,petroleum industry
